Waterbody Type,Constituent Group,Constituent,TADA.Constituent,Fraction,Use,Use Description,Type,Magnitude_Text,Magnitude_Numeric,Units,Directionality,Frequency,Duration,Details,Source,Listing Methodology,DEC Use,DEC Use Description,Notes
Freshwater,pH,pH,PH,,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,6.0-8.5,6,SU,Minimum,10%,Daily minimum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,"Drinking, Culinary, and Food Processing",
Freshwater,pH,pH,PH,,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,6.0-8.5,8.5,SU,Maximum,10%,Daily maximum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,"Drinking, Culinary, and Food Processing",
Freshwater,pH,pH,PH,,WATER SUPPLY,INDUSTRIAL,,5.0-9.0,5,SU,Minimum,10%,Daily minimum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,Industrial,
Freshwater,pH,pH,PH,,WATER SUPPLY,INDUSTRIAL,,5.0-9.0,9,SU,Maximum,10%,Daily maximum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,Industrial,
Marine,pH,pH,PH,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,6.5-8.5,6.5,SU,Minimum,10%,Daily minimum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",
Marine,pH,pH,PH,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,6.5-8.5,8.5,SU,Maximum,10%,Daily maximum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",
Marine,pH,pH,PH,,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,6.0-8.5,6,SU,Minimum,10%,Daily minimum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,
Marine,pH,pH,PH,,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,6.0-8.5,8.5,SU,Maximum,10%,Daily maximum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,
Marine,pH,pH,PH,,WATER RECREATION,CONTACT RECREATION,,6.0-8.5,6,SU,Minimum,10%,Daily minimum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Primary Contact Recreation,,
Marine,pH,pH,PH,,WATER RECREATION,CONTACT RECREATION,,6.0-8.5,8.5,SU,Maximum,10%,Daily maximum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Primary Contact Recreation,,
Marine,pH,pH,PH,,WATER RECREATION,SECONDARY RECREATION,,5.0-9.0,5,SU,Minimum,10%,Daily minimum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Secondary Contact Recreation,,
Marine,pH,pH,PH,,WATER RECREATION,SECONDARY RECREATION,,5.0-9.0,9,SU,Maximum,10%,Daily maximum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Secondary Contact Recreation,,
Marine,pH,pH,PH,,WATER SUPPLY,AQUACULTURE,,6.5-8.5,6,SU,Minimum,10%,Daily minimum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,Aquaculture,
Marine,pH,pH,PH,,WATER SUPPLY,AQUACULTURE,,6.5-8.5,8.5,SU,Maximum,10%,Daily maximum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,Aquaculture,
Marine,pH,pH,PH,,WATER SUPPLY,INDUSTRIAL,,5.0-9.0,5,SU,Minimum,10%,Daily minimum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,Industrial,
Marine,pH,pH,PH,,WATER SUPPLY,INDUSTRIAL,,5.0-9.0,9,SU,Maximum,10%,Daily maximum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,Industrial,
Marine,pH,pH,PH,,WATER SUPPLY,SEAFOOD PROCESSING,,6.0-8.5,6,SU,Minimum,10%,Daily minimum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,Seafood Processing,
Marine,pH,pH,PH,,WATER SUPPLY,SEAFOOD PROCESSING,,6.0-8.5,8.5,SU,Maximum,10%,Daily maximum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,Seafood Processing,
Freshwater,Sediment,Sediment  ,SEDIMENT,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,,,,May not be increased by more than,5% by weight,Not to exceed,Too complicated for table?,,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",
Freshwater,Sediment,Sediment  ,SEDIMENT,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,,,,Maximum,30% by weight,Not to exceed,Too complicated for table?,,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",
Freshwater,Sediment,Sediment  ,SEDIMENT,,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,0.074,0.074,mm,Maximum,10%,Not to exceed,"For sprinker irrigation, water must be free of particles >.074mm",AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,"Agriculture, Including Irrigation and Stock Watering",
Freshwater,Sediment,Sediment  ,SEDIMENT,,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,200,200,mg/L,Maximum,10%,Daily average,Not to exceed for extended period of time,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,"Agriculture, Including Irrigation and Stock Watering",
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,13,13,Degrees C,Maximum,Not to exceed,Not to exceed,Spawning areas; no listing methodology,AK DEQ SWQS; criteria-search-tool-data.xlsx,None,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,13,13,Degrees C,Maximum,Not to exceed,Not to exceed,Egg & fry incubation; no listing methodology,AK DEQ SWQS; criteria-search-tool-data.xlsx,None,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,15,15,Degrees C,Maximum,Not to exceed,Not to exceed,Migration routes; no listing methodology,criteria-search-tool-data.xlsx,None,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,15,15,Degrees C,Maximum,Not to exceed,Not to exceed,Rearing areas; no listing methodology,criteria-search-tool-data.xlsx,None,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,20,20,Degrees C,Maximum,Not to exceed,Not to exceed,no listing methodology,AK DEQ SWQS; criteria-search-tool-data.xlsx,None,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,WATER RECREATION,CONTACT RECREATION,,30,30,Degrees C,Maximum,Not to exceed,Not to exceed,no listing methodology,AK DEQ SWQS; criteria-search-tool-data.xlsx,None,Primary Contact Recreation,,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,30,30,Degrees C,Maximum,Not to exceed,Not to exceed,no listing methodology,AK DEQ SWQS; criteria-search-tool-data.xlsx,None,Water Supply,"Agriculture, Including Irrigation and Stock Watering",
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,WATER SUPPLY,AQUACULTURE,,13,13,Degrees C,Maximum,Not to exceed,Not to exceed,Spawning areas; no listing methodology,AK DEQ SWQS; criteria-search-tool-data.xlsx,None,Water Supply,Aquaculture,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,WATER SUPPLY,AQUACULTURE,,13,13,Degrees C,Maximum,Not to exceed,Not to exceed,Egg & fry incubation; no listing methodology,AK DEQ SWQS; criteria-search-tool-data.xlsx,None,Water Supply,Aquaculture,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,WATER SUPPLY,AQUACULTURE,,15,15,Degrees C,Maximum,Not to exceed,Not to exceed,Migration routes; no listing methodology,AK DEQ SWQS; criteria-search-tool-data.xlsx,None,Water Supply,Aquaculture,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,WATER SUPPLY,AQUACULTURE,,15,15,Degrees C,Maximum,Not to exceed,Not to exceed,Rearing areas; no listing methodology,AK DEQ SWQS; criteria-search-tool-data.xlsx,None,Water Supply,Aquaculture,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,WATER SUPPLY,AQUACULTURE,,20,20,Degrees C,Maximum,Not to exceed,Not to exceed,no listing methodology,AK DEQ SWQS; criteria-search-tool-data.xlsx,None,Water Supply,Aquaculture,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,15,15,Degrees C,Maximum,Not to exceed,Not to exceed,no listing methodology,AK DEQ SWQS; criteria-search-tool-data.xlsx,None,Water Supply,"Drinking, Culinary, and Food Processing",
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,WATER SUPPLY,INDUSTRIAL,,25,25,Degrees C,Maximum,Not to exceed,Not to exceed,no listing methodology,AK DEQ SWQS; criteria-search-tool-data.xlsx,None,Water Supply,Industrial,
Marine,Temperature,Temperature,"TEMPERATURE, WATER",,WATER SUPPLY,INDUSTRIAL,,25,25,Degrees C,Maximum,Not to exceed,Not to exceed,no listing methodology,AK DEQ SWQS; criteria-search-tool-data.xlsx,None,Water Supply,Industrial,
Marine,Temperature,Temperature,"TEMPERATURE, WATER",,WATER SUPPLY,SEAFOOD PROCESSING,,15,15,Degrees C,Maximum,Not to exceed,Not to exceed,no listing methodology,AK DEQ SWQS; criteria-search-tool-data.xlsx,None,Water Supply,Seafood Processing,
Freshwater,Toxics,Acenapthene,ACENAPHTHENE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,1200,1200,ug/L,Maximum,Not to exceed,30-day arithmetic average,,AK Toxics Manual,CALM,Human Health,Water and Aquatic Organisms,
Marine,Toxics,Acenapthene,ACENAPHTHENE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2700,2700,ug/L,Maximum,Not to exceed,30-day arithmetic average,,AK Toxics Manual,CALM,Human Health,Aquatic Organisms Only,
Freshwater,Toxics,Acrolein,ACROLEIN,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,320,320,ug/L,Maximum,Not to exceed,30-day arithmetic average,,AK Toxics Manual,CALM,Human Health,Water and Aquatic Organisms,
Marine,Toxics,Acrolein,ACROLEIN,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,780,720,ug/L,Maximum,Not to exceed,30-day arithmetic average,,AK Toxics Manual,CALM,Human Health,Aquatic Organisms Only,
Freshwater,Toxics,Alachor,ALACHLOR,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2,2,ug/L,Maximum,Not to exceed,30-day arithmetic average,,AK  Toxics Manual,CALM,Water Supply,"Drinking, Culinary, and Food Processing",
Freshwater,Toxics,Aldicarb,ALDICARB,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,3,3,ug/L,Maximum,Not to exceed,30-day arithmetic average,,AK  Toxics Manual,CALM,Water Supply,"Drinking, Culinary, and Food Processing",
Freshwater,Toxics,Aldicarb Sulfone,ALDICARB SULFONE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2,2,ug/L,Maximum,Not to exceed,30-day arithmetic average,,AK  Toxics Manual,CALM,Water Supply,"Drinking, Culinary, and Food Processing",
Freshwater,Toxics,Aldicarb Sulfoxide,ALDICARB SULFOXIDE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,4,4,ug/L,Maximum,Not to exceed,30-day arithmetic average,,AK  Toxics Manual,CALM,Water Supply,"Drinking, Culinary, and Food Processing",
Freshwater,Toxics,Aldrin,ALDRIN,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,3,3,ug/L,Maximum,1 in most recent 3 years,24-hour max,,AK Toxics Manual,CALM,Aquatic Life,,
Marine,Toxics,Aldrin,ALDRIN,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,1.3,1.3,ug/L,Maximum,1 in most recent 3 years,24-hour max,,AK Toxics Manual,CALM,Aquatic Life,,
Freshwater,Toxics,alpha-Endosulfan,.ALPHA-ENDOSULFAN,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,0.22,0.22,ug/L,Maximum,1 in most recent 3 years,24-hour max,,AK Toxics Manual,CALM,Aquatic Life,,
Freshwater,Toxics,alpha-Endosulfan,.ALPHA-ENDOSULFAN,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,0.056,0.056,ug/L,Maximum,>=2 exceedances and >5% exceedance frequency in 3 year period,24-hour arithmetic average,,AK Toxics Manual,CALM,Aquatic Life,,
Marine,Toxics,alpha-Endosulfan,.ALPHA-ENDOSULFAN,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,0.034,0.034,ug/L,Maximum,1 in most recent 3 years,24-hour max,,AK Toxics Manual,CALM,Aquatic Life,,
Marine,Toxics,alpha-Endosulfan,.ALPHA-ENDOSULFAN,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,0.0087,0.0087,ug/L,Maximum,>=2 exceedances and >5% exceedance frequency in 3 year period,24-hour arithmetic average,,AK Toxics Manual,CALM,Aquatic Life,,
Freshwater,Toxics,alpha-Endosulfan,.ALPHA-ENDOSULFAN,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,110,110,ug/L,Maximum,Not to exceed,30-day arithmetic average,,AK Toxics Manual,CALM,Human Health,Water and Aquatic Organisms,
Marine,Toxics,alpha-Endosulfan,.ALPHA-ENDOSULFAN,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,240,240,ug/L,Maximum,Not to exceed,30-day arithmetic average,,AK Toxics Manual,CALM,Human Health,Aquatic Organisms Only,
Freshwater,Toxics,Alkalinity,ALKALINITY,Total,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,20000,20000,ug/L,Maximum,>=2 exceedances and >5% exceedance frequency in 3 year period,96-hour arithmetic average,Magnitude is minimum,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Aquatic Life,,
Freshwater,Toxics,Aluminum,ALUMINUM,Total Recoverable  ,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,750,750,ug/L,Maximum,1 in most recent 3 years,1-hour average,,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Aquatic Life,,
Freshwater,Toxics,Aluminum,ALUMINUM,Total Recoverable  ,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,87,87,ug/L,Maximum,>=2 exceedances and >5% exceedance frequency in 3 year period,96-hour arithmetic average,,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Aquatic Life,,
Freshwater,Toxics,Aluminum,ALUMINUM,Total Recoverable  ,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,5000,5000,ug/L,Maximum,Not to exceed,Daily average,,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Water Supply,"Agriculture, Including Irrigation and Stock Watering",changed from 30-day average to daily average 4/29/25
Freshwater,Toxics,Ammonia,AMMONIA,Total,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,see equation,,mg/L,Maximum,1 in most recent 3 years,1-hour average,pH dependent,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Aquatic Life,,
Freshwater,Toxics,Ammonia,AMMONIA,Total,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,see equation,,mg/L,Maximum,>=2 exceedances and >5% exceedance frequency in 3 year period,30-day arithmetic average,pH dependent,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Aquatic Life,,
Marine,Toxics,Ammonia,AMMONIA,Total,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,See equation,,mg/L,Maximum,1 in most recent 3 years,30-day arithmetic average,pH dependent,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Aquatic Life,,
Marine,Toxics,Ammonia,AMMONIA,Total,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,See equation,,mg/L,Maximum,>=2 exceedances and >5% exceedance frequency in 3 year period,96-hour arithmetic average,pH dependent,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Aquatic Life,,
Marine,Toxics,"Ammonia, un-ionized",AMMONIA,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,0.233,0.233,mg/L,Maximum,1 in most recent 3 years,1-hour average,,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Aquatic Life,,
Marine,Toxics,"Ammonia, un-ionized",AMMONIA,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,0.035,0.035,mg/L,Maximum,>=2 exceedances and >5% exceedance frequency in 3 year period,96-hour arithmetic average,,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Aquatic Life,,
Freshwater,Toxics,Anthracene,ANTHRACENE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,9600,9600,ug/L,Maximum,Not to exceed,30-day arithmetic average,,AK Toxics Manual,CALM,Human Health,Water and Aquatic Organisms,
Marine,Toxics,Anthracene,ANTHRACENE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,110000,110000,ug/L,Maximum,Not to exceed,30-day arithmetic average,,AK Toxics Manual,CALM,Human Health,Aquatic Organisms Only,
Freshwater,Toxics,Antimony,ANTIMONY,Total,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,14,14,ug/L,Maximum,Not to exceed,30-day arithmetic average,,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Human Health,Water and Aquatic Organisms,total fraction is analyzed consistent with drinking water regulations
Marine,Toxics,Antimony,ANTIMONY,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,4300,4300,ug/L,Maximum,Not to exceed,30-day arithmetic average,,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Human Health,Aquatic Organisms Only,
Freshwater,Toxics,Antimony,ANTIMONY,Total,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,6,6,ug/L,Maximum,Not to exceed,30-day arithmetic average,,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Water Supply,"Drinking, Culinary, and Food Processing",total fraction is analyzed consistent with drinking water regulations
Freshwater,Toxics,Arsenic ,ARSENIC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,340,340,ug/L,Maximum,1 in most recent 3 years,1-hour average,,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Aquatic Life,,
Freshwater,Toxics,Arsenic ,ARSENIC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,150,150,ug/L,Maximum,>=2 exceedances and >5% exceedance frequency in 3 year period,96-hour arithmetic average,,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Aquatic Life,,
Freshwater,Toxics,Arsenic ,ARSENIC,Total,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,10,10,ug/L,Maximum,Not to exceed,Daily average,,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Water Supply,,changed from 30-day average to daily average 4/11/25
Freshwater,Toxics,Arsenic ,ARSENIC,Dissolved,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,100,100,ug/L,Maximum,Not to exceed,Daily average,,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Water Supply,,changed from 30-day average to daily average 4/11/25
Freshwater,Toxics,Arsenic ,ARSENIC,Dissolved,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,50,50,ug/L,Maximum,Not to exceed,Daily average,,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Water Supply,,changed from 30-day average to daily average 4/11/25
Marine,Toxics,Arsenic ,ARSENIC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,69,69,ug/L,Maximum,1 in most recent 3 years,1-hour average,,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Aquatic Life,,
Marine,Toxics,Arsenic ,ARSENIC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,36,36,ug/L,Maximum,>=2 exceedances and >5% exceedance frequency in 3 year period,96-hour arithmetic average,,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Aquatic Life,,
Freshwater,Toxics,Asbestos,ASBESTOS,,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,7 million fibers/liter (for fibers longer than 10 um),"7,000,000",fibers/liter,Maximum,Not to exceed,30-day arithmetic average,sample fraction for asbestos fibers?,AK Toxics Manual,CALM,Water Supply,"Drinking, Culinary, and Food Processing",
Freshwater,Toxics,Atrazine,ATRAZINE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,3,3,ug/L,Maximum,Not to exceed,30-day arithmetic average,,AK Toxics Manual,CALM,Water Supply,"Drinking, Culinary, and Food Processing",
Freshwater,Toxics,Barium ,BARIUM,Total,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2000,2000,ug/L,Maximum,Not to exceed,30-day arithmetic average,,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Water Supply,"Drinking, Culinary, and Food Processing",total fraction is analyzed consistent with drinking water regulations
Freshwater,Toxics,Benzene,BENZENE,,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,5,5,ug/L,Maximum,Not to exceed,30-day arithmetic average,,AK Toxics Manual,CALM,Water Supply,"Drinking, Culinary, and Food Processing","Removed ""dissolved"" as fraction"
Freshwater,Toxics,Benzo(a)Pyrene,BENZO[A]PYRENE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,0.2,0.2,ug/L,Maximum,Not to exceed,30-day arithmetic average,,AK Toxics Manual,CALM,Water Supply,"Drinking, Culinary, and Food Processing",
Freshwater,Toxics,Beryllium,BERYLLIUM,Total,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,4,4,ug/L,Maximum,Not to exceed,30-day arithmetic average,,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Water Supply,"Drinking, Culinary, and Food Processing",total fraction is analyzed consistent with drinking water regulations
Freshwater,Toxics,Beryllium,BERYLLIUM,Dissolved,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,100,100,ug/L,Maximum,Not to exceed,30-day arithmetic average,,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Water Supply,Irrigation,
Freshwater,Toxics,beta-Endosulfan,BETA-ENDOSULFAN-D4,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,0.22,0.22,ug/L,Maximum,1 in most recent 3 years,24-hour Max,,AK Toxics Manual,CALM,Aquatic Life,,
Freshwater,Toxics,beta-Endosulfan,BETA-ENDOSULFAN-D4,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,0.56,0.56,ug/L,Maximum,>=2 exceedances and >5% exceedance frequency in 3 year period,24-hour arithmetic average,,AK Toxics Manual,CALM,Aquatic Life,,
Marine,Toxics,beta-Endosulfan,BETA-ENDOSULFAN-D4,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,0.034,0.034,ug/L,Maximum,1 in most recent 3 years,24-hour Max,,AK Toxics Manual,CALM,Aquatic Life,,
Marine,Toxics,beta-Endosulfan,BETA-ENDOSULFAN-D4,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,0.0087,0.0087,ug/L,Maximum,>=2 exceedances and >5% exceedance frequency in 3 year period,24-hour arithmetic average,,AK Toxics Manual,CALM,Aquatic Life,,
Freshwater,Toxics,beta-Endosulfan,BETA-ENDOSULFAN-D4,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,110,110,ug/L,Maximum,Not to exceed,30-day arithmetic average,,AK Toxics Manual,CALM,Human Health,Water and Aquatic Organisms,
Marine,Toxics,beta-Endosulfan,BETA-ENDOSULFAN-D4,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,240,240,ug/L,Maximum,Not to exceed,30-day arithmetic average,,AK Toxics Manual,CALM,Human Health,Aquatic Organisms Only,
